#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/enformer_mid_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/enformer_mid_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/enformer_mid_blood/0.385344543102295.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/enformer_mid_blood/target.clean..pos
BG13	chr1	20912176	21043247	+	0.000	0.000	1
BG283	chr1	224881651	225012722	+	0.000	0.000	2
BG359	chr10	32431487	32562558	+	0.000	0.000	3
BG386	chr10	64862973	64994044	+	0.000	0.000	4
BG489	chr11	43670881	43801952	+	0.000	0.000	5
BG527	chr11	95833321	95964392	+	0.000	0.000	6
BG563	chr12	1213157	1344228	+	0.000	0.000	7
BG604	chr12	28205878	28336949	+	0.000	0.000	8
BG614	chr12	33968369	34099440	+	0.000	0.000	9
BG644	chr12	74002517	74133588	+	0.000	0.000	10
BG709	chr13	19695326	19826397	+	0.000	0.000	11
BG810	chr13	113626876	113757947	+	0.000	0.000	12
BG820	chr14	30589669	30720740	+	0.000	0.000	13
BG837	chr14	50578957	50710028	+	0.000	0.000	14
BG854	chr14	60876469	61007540	+	0.000	0.000	15
BG874	chr14	73294057	73425128	+	0.000	0.000	16
BG895	chr14	92071873	92202944	+	0.000	0.000	17
BG935	chr15	50626886	50757957	+	0.000	0.000	18
BG936	chr15	50930041	51061112	+	0.000	0.000	19
BG1123	chr17	27000821	27131892	+	0.000	0.000	20
BG1138	chr17	47023901	47154972	+	0.000	0.000	21
BG1145	chr17	60676001	60807072	+	0.000	0.000	22
BG1192	chr18	32096801	32227872	+	0.000	0.000	23
BG1256	chr19	20909692	21040763	+	0.000	0.000	24
BG1257	chr19	21212731	21343802	+	0.000	0.000	25
BG1259	chr19	23637043	23768114	+	0.000	0.000	26
BG1267	chr19	37576837	37707908	+	0.000	0.000	27
BG1292	chr2	11209373	11340444	+	0.000	0.000	28
BG1305	chr2	25751261	25882332	+	0.000	0.000	29
BG1314	chr2	32113337	32244408	+	0.000	0.000	30
BG1324	chr2	45443401	45574472	+	0.000	0.000	31
BG1335	chr2	55440949	55572020	+	0.000	0.000	32
BG1345	chr2	61197113	61328184	+	0.000	0.000	33
BG1381	chr2	108761205	108892276	+	0.000	0.000	34
BG1406	chr2	138450893	138581964	+	0.000	0.000	35
BG1454	chr2	179955865	180086936	+	0.000	0.000	36
BG1461	chr2	187529765	187660836	+	0.000	0.000	37
BG1466	chr2	189650457	189781528	+	0.000	0.000	38
BG1470	chr2	196618445	196749516	+	0.000	0.000	39
BG1476	chr2	201465741	201596812	+	0.000	0.000	40
BG1591	chr20	64312957	64444028	+	0.000	0.000	41
BG1644	chr22	28530599	28661670	+	0.000	0.000	42
BG1671	chr3	17574175	17705246	+	0.000	0.000	43
BG1695	chr3	44238439	44369510	+	0.000	0.000	44
BG1776	chr3	142411411	142542482	+	0.000	0.000	45
BG1811	chr3	180892792	181023863	+	0.000	0.000	46
BG1891	chr4	68514839	68645910	+	0.000	0.000	47
BG1894	chr4	69424328	69555399	+	0.000	0.000	48
BG1896	chr4	72759121	72890192	+	0.000	0.000	49
BG1897	chr4	73062284	73193355	+	0.000	0.000	50
BG1906	chr4	79125544	79256615	+	0.000	0.000	51
BG1974	chr4	120052549	120183620	+	0.000	0.000	52
BG1979	chr4	122174690	122305761	+	0.000	0.000	53
BG1984	chr4	126722135	126853206	+	0.000	0.000	54
BG2051	chr5	10314105	10445176	+	0.000	0.000	55
BG2055	chr5	13044309	13175380	+	0.000	0.000	56
BG2073	chr5	37312789	37443860	+	0.000	0.000	57
BG2086	chr5	52177233	52308304	+	0.000	0.000	58
BG2089	chr5	53694013	53825084	+	0.000	0.000	59
BG2103	chr5	60064489	60195560	+	0.000	0.000	60
BG2105	chr5	60974557	61105628	+	0.000	0.000	61
BG2120	chr5	75232289	75363360	+	0.000	0.000	62
BG2127	chr5	80389341	80520412	+	0.000	0.000	63
BG2129	chr5	81602765	81733836	+	0.000	0.000	64
BG2132	chr5	84332969	84464040	+	0.000	0.000	65
BG2134	chr5	86759817	86890888	+	0.000	0.000	66
BG2146	chr5	104051109	104182180	+	0.000	0.000	67
BG2147	chr5	104354465	104485536	+	0.000	0.000	68
BG2148	chr5	105264533	105395604	+	0.000	0.000	69
BG2149	chr5	107084669	107215740	+	0.000	0.000	70
BG2153	chr5	108904805	109035876	+	0.000	0.000	71
BG2167	chr5	125589385	125720456	+	0.000	0.000	72
BG2168	chr5	125892741	126023812	+	0.000	0.000	73
BG2169	chr5	126499453	126630524	+	0.000	0.000	74
BG2175	chr5	131049793	131180864	+	0.000	0.000	75
BG2176	chr5	131353149	131484220	+	0.000	0.000	76
BG2224	chr6	8488257	8619328	+	0.000	0.000	77
BG2231	chr6	17582817	17713888	+	0.000	0.000	78
BG2248	chr6	34256177	34387248	+	0.000	0.000	79
BG2250	chr6	36378241	36509312	+	0.000	0.000	80
BG2252	chr6	37894001	38025072	+	0.000	0.000	81
BG2265	chr6	48807473	48938544	+	0.000	0.000	82
BG2266	chr6	49110625	49241696	+	0.000	0.000	83
BG2276	chr6	54567361	54698432	+	0.000	0.000	84
BG2280	chr6	56083121	56214192	+	0.000	0.000	85
BG2289	chr6	62146161	62277232	+	0.000	0.000	86
BG2290	chr6	62449313	62580384	+	0.000	0.000	87
BG2297	chr6	64571377	64702448	+	0.000	0.000	88
BG2298	chr6	64874529	65005600	+	0.000	0.000	89
BG2299	chr6	65177681	65308752	+	0.000	0.000	90
BG2300	chr6	65480833	65611904	+	0.000	0.000	91
BG2301	chr6	65783985	65915056	+	0.000	0.000	92
BG2303	chr6	66390289	66521360	+	0.000	0.000	93
BG2304	chr6	66693441	66824512	+	0.000	0.000	94
BG2305	chr6	66996593	67127664	+	0.000	0.000	95
BG2306	chr6	67299745	67430816	+	0.000	0.000	96
BG2307	chr6	67602897	67733968	+	0.000	0.000	97
BG2308	chr6	68209201	68340272	+	0.000	0.000	98
BG2322	chr6	74272241	74403312	+	0.000	0.000	99
BG2323	chr6	74575393	74706464	+	0.000	0.000	100
BG2327	chr6	76394305	76525376	+	0.000	0.000	101
BG2328	chr6	76697457	76828528	+	0.000	0.000	102
BG2329	chr6	77000609	77131680	+	0.000	0.000	103
BG2332	chr6	77910065	78041136	+	0.000	0.000	104
BG2337	chr6	80638433	80769504	+	0.000	0.000	105
BG2338	chr6	80941585	81072656	+	0.000	0.000	106
BG2339	chr6	81244737	81375808	+	0.000	0.000	107
BG2340	chr6	81547889	81678960	+	0.000	0.000	108
BG2346	chr6	86095169	86226240	+	0.000	0.000	109
BG2358	chr6	91855057	91986128	+	0.000	0.000	110
BG2359	chr6	92158209	92289280	+	0.000	0.000	111
BG2360	chr6	92461361	92592432	+	0.000	0.000	112
BG2362	chr6	93067665	93198736	+	0.000	0.000	113
BG2363	chr6	93370817	93501888	+	0.000	0.000	114
BG2364	chr6	93673969	93805040	+	0.000	0.000	115
BG2366	chr6	94280273	94411344	+	0.000	0.000	116
BG2367	chr6	94583425	94714496	+	0.000	0.000	117
BG2368	chr6	94886577	95017648	+	0.000	0.000	118
BG2370	chr6	95796033	95927104	+	0.000	0.000	119
BG2375	chr6	97614945	97746016	+	0.000	0.000	120
BG2383	chr6	100646465	100777536	+	0.000	0.000	121
BG2387	chr6	101859073	101990144	+	0.000	0.000	122
BG2388	chr6	102162225	102293296	+	0.000	0.000	123
BG2389	chr6	102465377	102596448	+	0.000	0.000	124
BG2390	chr6	102768529	102899600	+	0.000	0.000	125
BG2392	chr6	103374833	103505904	+	0.000	0.000	126
BG2393	chr6	103981137	104112208	+	0.000	0.000	127
BG2400	chr6	107922113	108053184	+	0.000	0.000	128
BG2404	chr6	110650481	110781552	+	0.000	0.000	129
BG2405	chr6	110953633	111084704	+	0.000	0.000	130
BG2407	chr6	112469393	112600464	+	0.000	0.000	131
BG2408	chr6	112772545	112903616	+	0.000	0.000	132
BG2414	chr6	117622977	117754048	+	0.000	0.000	133
BG2418	chr6	121867105	121998176	+	0.000	0.000	134
BG2424	chr6	127323841	127454912	+	0.000	0.000	135
BG2441	chr6	140056225	140187296	+	0.000	0.000	136
BG2442	chr6	140359377	140490448	+	0.000	0.000	137
BG2484	chr7	8794715	8925786	+	0.000	0.000	138
BG2485	chr7	9097981	9229052	+	0.000	0.000	139
BG2486	chr7	9401247	9532318	+	0.000	0.000	140
BG2493	chr7	11827375	11958446	+	0.000	0.000	141
BG2495	chr7	13343705	13474776	+	0.000	0.000	142
BG2496	chr7	13646971	13778042	+	0.000	0.000	143
BG2497	chr7	14253503	14384574	+	0.000	0.000	144
BG2498	chr7	14556769	14687840	+	0.000	0.000	145
